Gene,LA3475,LA1316,LA1589,LA1777,LA2172,LA3778,LA4117,LA0716
Solyc05g009250.1.1,5.841811188,3.664888779,4.177545938,4.399938682,3.758690845,4.144514636,6.117091319,4.186786673
Solyc05g009290.3.1,16.46028029,15.96030371,12.37240667,13.19981605,13.62687281,11.49600767,9.733689703,12.55121935
Solyc05g009300.1.1,21.38773627,12.5764681,14.39665437,7.542752026,25.65930858,9.721306182,5.25234466,6.087383402
Solyc05g009330.3.1,30.51035187,30.56704961,23.35334032,17.18071295,33.92549113,7.413357919,10.72219822,15.90785468
Solyc05g009340.1.1,14.38316003,6.859110741,8.831616167,10.0570027,5.38665682,6.252077763,0.848879841,23.50174789
Solyc05g009350.3.1,15.60142322,49.67069514,24.56302076,21.05684941,27.03017879,10.88073753,16.26636188,8.042477864
Solyc05g009360.3.1,152.989051,160.5754087,127.8918847,161.1215641,192.8486077,100.783299,91.06192901,151.4395123
Solyc05g009370.3.1,8.787179694,6.907309501,6.648179616,4.399938682,9.134447461,4.591007829,4.949947776,5.6945199
Solyc05g009390.3.1,5.133491038,8.973727293,6.545286603,7.333231136,5.351861351,8.482019172,9.632802423,9.450139763
Solyc05g009400.2.1,1.955349642,8.700924679,2.790053676,4.399938682,4.176555923,2.649199777,2.392730374,4.141396358
Solyc05g009420.1.1,92.85463813,102.2491943,123.8535945,47.77076283,102.3480768,95.85789962,77.0402072,40.07979326
Solyc05g009450.2.1,48.7707059,49.78562002,62.65589309,74.17039492,69.49761251,56.19403378,30.01821532,80.40024344
Solyc05g009460.3.1,8.447650611,8.647150434,11.72923848,12.57125338,9.945075199,12.97166137,7.050859144,14.09311913
Solyc05g009470.3.1,12.39021697,422.2312562,20.91578343,31.74241478,34.63442476,53.13332772,37.57007152,36.62796768
Solyc05g009500.3.1,19.32220307,15.17188748,1.957558319,1.257125338,9.382950837,5.391196884,13.22110481,1.46165681
Solyc05g009520.1.1,87.34731364,7.4050159,15.32164921,33.31382145,30.3167165,26.11025088,21.96456718,12.68976879
Solyc05g009530.3.1,8.794833192,8.012119223,8.192436067,5.499923352,9.769366989,4.687164906,4.919437017,6.30923474
Solyc05g009540.3.1,13.09717712,14.24666255,19.91188902,16.55215028,15.49253666,16.22562496,21.67962345,26.52188694
Solyc05g009550.3.1,14.17093905,8.308841705,7.676414898,12.57125338,5.276873553,32.08366901,17.18961807,22.01331411
Solyc05g009570.3.1,3.895842542,5.249468136,2.928802902,2.514250675,7.544685445,7.072106405,1.188431778,2.618333715
Solyc05g009600.3.1,23.11980896,17.94936038,22.51373734,16.08072828,16.42754638,14.63171768,16.4401708,17.99186663
Solyc05g009610.1.1,21.87317881,54.90985949,4.377614059,30.1710081,28.49286629,21.12704107,28.86151717,6.167028385
Solyc05g009630.3.1,16.28754001,14.35166658,13.97235097,16.97119206,15.97503967,17.32395638,15.84727714,12.87380944
Solyc05g009670.3.1,1.985042756,2.816868818,1.356311673,1.257125338,6.40627034,3.220595807,4.048046064,4.390776434
Solyc05g009680.1.1,28.77221063,46.65281036,28.63949035,40.2280108,87.16351601,13.25357255,25.16888986,25.37174827
Solyc05g009690.3.1,8.044866009,9.678988208,7.769810541,6.971331418,13.32859807,4.350278128,9.341392278,4.959242532
Solyc05g009700.3.1,2.637082674,4.394804959,11.38288656,1.257125338,5.143976239,1.973913559,3.835826104,3.140512031
Solyc05g009710.3.1,4.449434616,3.583878044,2.057852951,2.985672677,3.381399748,3.560132333,3.362297898,4.262444519
Solyc05g009720.3.1,19.95577898,9.692306582,4.177545938,11.94269071,23.33358717,10.08492184,15.18939526,2.185176282
Solyc05g009780.3.1,4.458592516,3.586188898,3.270842537,3.142813344,4.40705809,6.875418887,3.307378531,5.131527884
Solyc05g009790.1.1,177.3090528,139.1561949,89.62726589,59.08489087,120.3489051,208.613102,107.2543782,107.4898248
Solyc05g009800.3.1,12.51417759,15.76381616,11.40575086,13.82837871,14.97371159,6.551641849,4.777527338,7.871604572
